Title,Company,Project Type,Location,Contract Value,Date Published,Source URL,Description
Notice Of The Adjourned Meeting Of The Secured Creditors Of NCC Limited.,NCC Limited,Infrastructure Project,Mumbai,Not specified,2025-03-14,http://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=bb130c13-fa98-4999-8c79-b4de3ca48648.pdf," 
NCC Limited 
CIN: L72200TG1990PLC011146 
NCC House, Madhapur, Hyderabad 500 081   T +91 40 2326 8888   F +91 40 23125555    ncclimited.com 
  Date: 14th March 2025   
National Stock Exchange of India Ltd  
Exchange Plaza, C-1, Block G  
Bandra – Kurla Complex 
Bandra (E) 
Mumbai  - 400051 
NSE:  NCC BSE Limited 
Phiroze  Jeejeebhoy Towers  
Dalal Street,   
Fort  
Mumbai - 400001 
BSE: 500294  
 
Dear Sir/ Madam, 
 
Sub:  Notice of the Adjourned Meeting of the Secured Creditors of NCC Limited (the Company)  
  
Ref:   Our letter dated 30th January 2025 - Outcome of the Meeting of the Secured Creditors. 
 
This is in continuation to our letter cited above on the subject, we would like to inform that Notice 
convening the adjourned meeting of the secured creditors of the Company to be held on 
Wednesday, 16th April 2025 at 11:30 a.m. is being dispatched to all the Secured Creditors of the 
Company. 
 
The Newspaper Notice under Section 230 and other applicable provisions of the Compani"
Rail Vikas Nigam Limited Emerges As The Lowest Bidder (L1) From National Highway Authority Of India- Normal Course Of Business Of The Company,Rail Vikas Nigam Ltd,Transportation - Highway,Delhi,Not specified,2025-03-11,http://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b4621c37-1039-4af5-a4a5-b12d8bdfb247.pdf," 
 
Regd. Office: 1st Floor, August Kranti Bhawan, Bhikaji Cama Place, R.K. Puram, New Delhi -110066  
Tel: +91- 11-26738299, Fax: +91- 11-26182957, Email: Info@rvnl.org, Web: www.rvnl.org  
CIN: L74999DL2003GOl118633  
 
RVNL/SECY/STEX/2025                       11.03.2025 
National Stock Exchange of India Ltd.  
Exchange Plaza,  
Plot no. C/1, G Block,  
Bandra -Kurla Complex,  
Bandra (E), Mumbai -  400 051. 
Scrip: RVNL  BSE Ltd.  
Department of Corporate Service,  
PhirozeJeejeebhoy Towers, Dalal Street,  
Mumbai - 400 001. 
Scrip: 542649
 
 
Sub: Rail Vikas Nigam Limited emerges as the Lowest Bidder (L1)  from  National Highway 
Authority of India - Normal course of business of the Company  
 
Dear Sir/Madam,  
 
It is hereby informed that Rail Vikas Nigam Limited emerges as the Lowest Bidder (L1) from 
National Highway Authority of India for “Construction of 6 lane access controlled connectivity to 
Visakhapatnam Port Road from Km 0.000 (Sabbavaram bypass of Anakapalli – Anandap"
"JM Financial Ltd-$ - 523405 - Submission Of Statement Of Utilisation Of Funds With Deviation/Variation, If Any",JM Financial Ltd-$,Infrastructure,Mumbai,Not specified,2025-01-28,http://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f1b8f37e-99c1-4827-a444-9971838b214b.pdf," 
 
JM Financial Limited  
Corporate Identity Number: L67120MH1986PLC038784 
Regd.  Office:  7th Floor,  Cnergy,  Appasaheb  Marathe  Marg,  Prabhadevi,  Mumbai  400 025.  
T: +91 22 6630 3030 F: +91 22 6630 3223 www.jmfl.com  
 
    January  28, 2025  
 
BSE Limited  
Department of Corporate Services  
1st Floor, New Trading Ring 
Rotunda Building, P J Towers  
Dalal Street, Fort,  
Mumbai – 400 001  Security Code:  523405  National Stock Exchange of India Limited  
Exchange Plaza  
Plot No.C -1, G Block   
Bandra -Kurla Complex  
Bandra (East)  
Mumbai – 400 051  Symbol:  JMFINANCIL  
 
Sub: Submission of statement of utilisation of funds with deviation/variation, if any.  
 
Pursuant to Regulation 32 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, we are enclosing the statement of utilisation of funds raised by the Company through QIP in June 2020. You may kindly observe from the said statement that there is no deviation/variation in the utilisation "
Restaurant Brands Asia Ltd - 543248 - Transfer Pricing Order Issued By The Transfer Pricing Officer.,Restaurant Brands Asia Ltd,Order/Contract,Mumbai,Not specified,2025-01-28,http://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=874dbc0b-24dd-42d0-84ab-179f0c8a9b3f.pdf," 
restaurant brands asia  limited  
(Formerly known as Burger King India Limited)  
    Registered office : Unit Nos. 1003 to 1007, 10th Floor, Mittal Commercia, Asan Pada Road, Chimatpada, Marol, Andheri (East), Mumbai - 400 059                  
CIN: L55204MH2013FLC249986 | info@burgerking.in | Tel : 022 -7193 3000 | Website : www.burgerking.in  
January 28, 2025  
 
BSE Limited  
Corporate Relations Department  
Phiroze Jeejeeboy Towers  
Dalal Street, Fort,  
Mumbai - 400 001  
Scrip Code : 543248  National Stock Exchange of India Limited  
Listing Department  
Exchange Plaza, 5th Floor, Plot no. C/1,  
G Block, Bandra Kurla Complex, Bandra (E)  
Mumbai - 400 051  
SYMBOL : RBA 
 
Sub.:  Transfer pricing order  issued by the Transfer pricing officer  
 
Ref.:   Regulation 30 read with Schedule III ( Para A of Part A) of Securities and Exchange Board 
of India (Listing Obligations and Disclosure Requirements) Regulations, 2015  (‘SEBI Listing  
Regulations’ )  
 
Dear Sir / Ma’am , "
Logica Infoway Ltd - 543746 - Completion Of Transmission Of Shares Of Lt. Mr. Yogendra Kumar Nathany (Member Of Promoter Group) To Mrs. Swati Choukhani (Nominee),Logica Infoway Ltd,Power Transmission,Delhi,Not specified,2024-12-28,http://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d771dde8-5a93-4c2a-a4ec-cdea91fef889.pdf," 
 
 
   
 
Regd. Office: 2, Saklat Place, 1st Floor, Kolkata - 700 072; +91 33 4058 0000 
Corp. Office:  A-78, Okhla Industrial Area, Phase-II, New Delhi – 110020; +91 11 4362 8116 
 info@logicainfoway.com  www.logicainfoway.com 
LOGICA INFOWAY LTD.
[Formerly:  Eastern Logica Infoway Ltd.]
CIN: L30007WB1995PLC073218
Date: 28th December, 2024 
 
To,  
 
Corporate Relationship Department,  
BSE Limited  
2nd Floor, New Trading Wing,  
Rotunda Building, P.J. Towers,  
Dalal Street, Mumbai – 400 001  
 
Scrip Code: 543746  
ISIN: INE0BSU01018  
 
Dear Sir/Madam,  
 
Sub: Intimation regarding Completion of Transmission of shares in Promoters Group.  
 
 
This is with reference to the disclosure dated December 24, 2024 made by the Company for the sad demise of 
Lt. Mr. Yogendra Kumar Nathany belonging to Promoter Group of the Company. It is to hereby further inform 
that 15,000 (0.09%) Equity Shares of the Company as held by him has duly been transmitted to his Nominee - 
Mrs. Swati Cho"
Adani Green Energy Ltd - 541450 - Commissioning Of Projects,Adani Green Energy Ltd,General Project,Gujarat,Not specified,2024-12-28,http://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d33d1ab7-d840-474c-86e5-43b700519a06.pdf," 
Adani Green Energy Limited   Tel +91 79 2555 5555  
Adani Corporate House , Shantigram,   Fax +91 79 2555 5500  
Nr Vaishno Devi Circle, S G Highway   investor.agel @adani.com  
Khodiyar, Ahmedabad 382 421   www.adani greenenergy .com  
Gujarat , India  
CIN: L40106GJ2015PLC082007  
 
Registered Office: Adani Corporate House, Shantigram, Nr. Vaishno Devi Circle,  
S G Highway, Khodiyar, Ahmedabad – 382 421 , Gujarat, India  
Date: December 28 , 2024  
 
To 
BSE Limited     The National Stock Exchange of India Limited  
P J Towers,     “Exchange Plaza”,  
Dalal Street,    Bandra – Kurla Complex,  
Mumbai – 400 001   Bandra (E), Mumbai – 400 051  
 
Scrip Code: 541450   Scrip Code: ADANIGREEN  
 
Dear Sir,  
 
Sub: Intimation under Regulation 30 of the SEBI (Listing Obligations and 
Disclosures Requirements) Regulations, 2015 – Commissioning of Project s 
 
Adani Renewable Energy Forty Eight Limited, a step -down subsidiar y of Adani 
Green Energy Limited (""AGEL"") ha s commissioned a 6"
Orient Cement Ltd - 535754 - Disclosure W.R.T. Order Passed  By Office Of The Assistant Commissioner Of Income Tax (Kolkata),Orient Cement Ltd,Manufacturing - Cement,Odisha,Not specified,2024-11-27,http://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=40dc8c7f-6b53-4d53-bb51-01887ad510fc.pdf," 
Orient Cement Limited  
Corporate Office: Birla Tower, 3rd fl, 25 Barakhamba Road, New Delhi 110001, India.   011 42092100  
Registered Office: Unit VIII, Plot No.7, Bhoinagar, Bhubaneshwar, Odisha 751012, India.  www.orientcement.com    
 
CIN No: L26940OR2011PLC013933  
 
 
 
November  27, 2024  
 OCL/SE/2024 -25/66 
 
BSE Limited     
Phiroze Jeejeebhoy Towers   
Dalal Street  
Mumbai -400001    
 
Scrip Code: 535754                                                National Stock Exchange of India Limited  
“Exchange Plaza”, Plot No. C -1, Block G  
Bandra – Kurla Complex, Bandra (East)  
Mumbai – 400 051  
 
Symbol: ORIENTCEM  
 
Dear Sir/ Madam,  
 
Sub:  Disclosure w.r.t. Order passed  u/s of 154 of I ncome Tax Act, 1961  for the FY 2017 -18 
by Office of The Assistant Commissioner of Income Tax Circle 5(1), K olkata  
 
Re:  Intimation under Regulation 30 of the SEBI (Listing Obligations and Disclosure  
Requirements) Regulations , 2015  (“SEBI Listing Regulations”)  
 
 
Pursua"
Network 18 Media & Investments Ltd - 532798 - Business Responsibility and Sustainability Reporting (BRSR),Network 18 Media & Investments Ltd,Transportation - Port,Mumbai,Not specified,2024-11-27,http://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=19cb8583-2514-4b04-89c8-d21c7e6801ce.pdf,"                  
  
Network18 Media & Investments Limited 
(CIN - L65910MH1996PLC280969) 
Regd. office: First Floor, Empire Complex, 414- Senapati Bapat Marg, Lower Parel, Mumbai-400013 
T: +91 22 40019000, 66667777 W: www.nw18.com  E: investors.n18@nw18.com  
 
  
 
November 27, 2024 
 
 
National Stock Exchange of India Limited 
 
Trading Symbol:  NETWORK18 
 
Through: NEAPS  BSE Limited  
 
SCRIP CODE:   532798 
 
Through: BSE Listing Centre  
 
 
Dear Sirs, 
 
Sub: Business Responsibility and Sustainability Report for the financial year 2023-24 
Ref: Regulation 34(2)(f) of SEBI (Listing Obligations & Disclosure Requirements) 
Regulations, 2015 (“ Listing Regulations”)  
 
We enclose herewith the Business Responsibility and Sustainability Report (“BRSR”) of the 
Company for the FY 2023-24.  
 
BRSR is also available on the website of the Company and can be accessed at: 
https://www.nw18.com/reports/NW18_BRSR_2023-24.pdf   
 
 
For Network18 Media & Investments Limited 
 
     
 
 "
Eastcoast Steel Ltd - 520081 - MINUTES OF THE 41ST ANNUAL GENERAL MEETING OF THE COMPANY.,Eastcoast Steel Ltd,Manufacturing - Steel,Mumbai,Not specified,2024-10-27,http://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8493c771-4515-4645-9e05-15cfec0c13f8.pdf,"EASTCOAST STEELLIMITED
163-164/A, MittalTower,16thFloor,Nariman Point,Mumbai -400021.
Tel.022-40750100 -Fax :022-22044801 -E-mail :esl.compliance@gmail.com -Web :www.eastcoaststeel.com
CIN.L27109FY1982PLC000199
Ref:ESL/2024-25/AH—084
October 26,2024
BSELimited
PhirozeIeejeebhoy Towers
DalalStreet,Fort
Mumbai -400001.
DearSir/Madam,
.SUB:MINUTES OFTHE41STANNUAL GENERAL MEETING OFTHECOMPANY.
REG:ScripCode :520081;ISIN :INE315F01013
Withreference tothecaptioned subject,weareenclosing herewith copyoftheminutes of
theproceedings ofthe41StAnnualGeneralMeeting oftheCompany heldonMonday,
30thSeptember, 2024throughVideoConferencing/ OtherAudioVisualMeans.'
Requestyoutokindlytakethesameonyourrecords.
Thanking you,weremain.
Yoursfaithfully,
ForEASTCOAST STEELLTD.
P.K.R.K.Menon
Company Secretary
Encl. :Asabove(1)
Regd.Office :A-123,RoyalDenBuilding, 16AruIThesonStreet,Palaniraja UdayarNagar,Lawspet, Pondicherry -605008.
EASTCOAST STEEL LIMITED 
163-164/A, Mittal Tower, 16th Floor, Nariman Point, M"
"Ola Electric Mobility Ltd - 544225 - Additional Information In Relation To The Press Release Dated September 26, 2024, Titled 'Ola Electric Launches 'Network Partner Program', Onboards Over 600 Partners To Accelerate
EV Adoption And #Endiceage PAN India'.",Ola Electric Mobility Ltd,Infrastructure,Karnataka,Not specified,2024-09-26,http://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e42dd327-ec8e-4bc7-8123-6485b9fc00c8.pdf,"                                                                             OLA ELECTRIC MOBILITY LIMITED 
  CIN - L74999KA2017PLC099619 
(Formerly known as Ola Electric Mobility Private Limited) 
 
 
Registered Address:  Regent Insignia, #414, 3rd Floor, 4th Block 17th Main, 100 Feet Road Koramangala, Bangalore, Karnataka - 560034 
India  Landline: +91 080-35440050 | companysecretary@olaelectric.com | www.olaelectric.com 
 
Date:  September 26, 2024  
 
To,  
National Stock Exchange of India Limited 
Exchange Plaza, C-1, Block G, 
Bandra Kurla Complex, 
Bandra (E), Mumbai – 400 051 To,  
BSE Limited  
Phiroze Jeejeebhoy Towers, 
Dalal Street, 
Mumbai- 400001 
NSE Scrip Symbol: OLAELEC BSE Scrip Code: 544225 
 
Subject: Additional information in relation to the Press release dated September 26, 2024, titled 
‘Ola Electric launches ‘Network Partner Program’, onboards over 600 partners to accelerate 
EV adoption and #EndICEAge PAN India’. 
 
Dear Sir/ Ma’am, 
  
We are enclosing herewit"
