Title,Company,Project Type,Location,Contract Value,Date Published,Tag,Steel Requirements,Potential Value,Target Company,Urgency,Reasoning
"BHEL-Hitachi Energy Consortium wins contract for 6,000-MW transmission project",BHEL-Hitachi Energy Consortium,transmission project,India,,2025-04-04,Infrastructure-Contract_Won,"Structural steel for transmission towers, galvanized steel for corrosion resistance, and high-strength steel for substations. Quantities likely substantial (hundreds to thousands of tons) given the 6,000-MW scale.",20-30%,BHEL-Hitachi Energy Consortium,medium,"The project is infrastructure-related (transmission systems) and falls under 'Infrastructure-Contract_Won' as the consortium secured the contract. Transmission projects require significant steel for towers, conductors, and substations. While BHEL is government-owned, the consortium structure (with private entity Hitachi Energy) suggests potential private procurement channels. The 6,000-MW scale implies large material needs. Urgency is medium as execution typically follows contract awards within 12-24 months."
PG Electroplast to set up air conditioning compressor plant with Rs 350-cr outlay,PG Electroplast,Manufacturing Plant,India,Rs 350-cr,2025-04-04,Realty-Announced,"Structural steel for building construction (beams, columns, roofing), reinforced steel for foundations, and potential steel components for machinery installation.",15-20%,PG Electroplast,medium,"The project involves constructing a manufacturing plant, which falls under industrial real estate (Realty). While the compressors themselves may not require significant steel, the plant's construction will necessitate structural steel for buildings, foundations, and machinery. The Rs 350-cr outlay suggests a large-scale project where steel could account for ~15-20% of costs. PG Electroplast (a private company) will directly procure materials for this project. The 2025 completion date indicates procurement will occur in the near term, but not immediately urgent."
"Trinity to invest Rs 1,200-cr in luxury housing project in Gurugram",Trinity,housing project,Gurugram,"Rs 1,200-cr",2025-04-04,Realty-Announced,"Structural steel for high-rise buildings (TMT bars, beams, columns), reinforcement steel for foundations, steel for elevators and facade systems. Luxury projects often require premium finishes like stainless steel fixtures.",15-20% (₹180-240 crore),Trinity,medium,"1) Luxury housing falls under Realty sector (Announced sub-category as it's an investment declaration). 2) Large-scale residential construction requires substantial steel for structure, reinforcement, and amenities. 3) Trinity is a private developer directly responsible for material procurement. 4) ₹1,200cr scale indicates major steel needs. 5) Medium urgency as construction planning/sourcing typically begins 12-18 months before 2025 completion target."
"Tata Advanced Systems acquires 7.4 lakh sq. ft. land in Karnataka, expands aerospace footprint",Tata Advanced Systems,aerospace,Karnataka,,2025-04-04,Realty-Announced,"Structural steel for facility construction including beams, columns, roofing, and reinforcement bars. Potential specialized steel for aerospace manufacturing equipment supports.",15-25% (estimated construction material allocation),Tata Advanced Systems,medium,"1) Industry classification: Realty (land acquisition for industrial facility expansion). 2) Large 7.4 lakh sq.ft development implies significant construction activity requiring structural steel. 3) Direct purchaser is Tata Advanced Systems (private entity), not government. 4) Aerospace manufacturing facilities typically require robust steel frameworks and specialized infrastructure. 5) Medium urgency as land acquisition precedes construction planning phase."
"Dilip Buildcon shares surge 6% after securing ₹2,631 crore BSNL Contract",Dilip Buildcon,infrastructure,India,"₹2,631 crore",2025-03-31,Infrastructure-Contract_Won,"Structural steel for telecom towers, cable support structures, reinforcement bars for concrete foundations, and galvanized steel for outdoor installations.",10-15%,Dilip Buildcon,medium,"1. Infrastructure project classification is confirmed as BharatNet Phase-III involves large-scale telecom infrastructure development. 2. Dilip Buildcon (private contractor) will procure materials, not BSNL (government entity). 3. Infrastructure projects of this scale (₹2,631 crore) typically require structural steel for towers, foundations, and cable management systems. 4. Timeline aligns with 2025 completion date, suggesting procurement activities will begin soon but are not immediate."
"Hindustan Construction-Tata Projects JV wins Rs 2,470 cr contract from Tata Power",Hindustan Construction Company (HCC) and Tata Projects (TPL),Power,India,"Rs 2,470 cr",2025-03-20,Renewable_Energy-Contract_Won,"Structural steel for power transmission infrastructure, potential requirements for towers, substation structures, and reinforcement steel for foundations. Possible use in turbine supports if wind energy component exists.",12-18%,Hindustan Construction Company (HCC) and Tata Projects JV,medium,"1. Industry classified as Renewable Energy due to Tata Power's core business in power generation (including renewables) and typical steel-intensive requirements for energy infrastructure. 2. Large contract value (₹2,470cr) implies substantial material needs. 3. The EPC contractors (HCC-TPL JV) would be steel purchasers, not the government. 4. Power projects typically require structural steel for transmission lines, substations, and plant infrastructure. 5. Medium urgency as contract execution would require phased steel procurement over project timeline."
Waaree Renewable Technologies JV Wins ₹740 Crore Solar EPC Contract for 125 MWAC Project,Waaree Renewable Technologies,Solar Power Plant,India,₹740 Crore,2025-03-11,Renewable_Energy-Contract_Won,"Structural steel for solar panel mounting systems, support beams, and possible substation infrastructure. Solar farms typically require ~60-100 tons of steel per MW for mounting structures (7,500-12,500 tons total).",10-15% of contract value (~₹74-111 crore),Waaree Renewable Technologies,medium,"1) Renewable Energy-Contract_Won: Solar EPC contracts require substantial structural steel for mounting systems and infrastructure. 2) 125 MWAC scale implies significant material needs. 3) Waaree (private company) will procure materials, not the government. 4) EPC contracts typically begin procurement within 3-6 months post-award. 5) Solar projects use ~60-100 tons of steel per MW for racking systems (7,500-12,500 tons total potential demand)."
"BHEL Secures ₹11,800 Crore EPC Contract for Korba West Supercritical Thermal Power Plant",Bharat Heavy Electricals Limited (BHEL),Thermal Power Plant,"Korba, Chhattisgarh","₹11,800 Crore",2025-03-29,Infrastructure-Contract_Won,"Structural steel for plant framework, boiler and turbine components, piping systems, and reinforcement steel for concrete structures. Supercritical thermal plants typically require high-grade steel for high-pressure/temperature applications.",12-15%,Bharat Heavy Electricals Limited (BHEL),high,"Thermal power plants are classified under infrastructure due to their role in energy infrastructure development. BHEL, as the EPC contractor (not a government entity), will procure materials. Supercritical plants require specialized steel for boilers, turbines, and piping systems. The ₹11,800 crore contract value suggests substantial steel demand (likely 1,400-1,770 crore allocated for steel). High urgency as EPC contractors typically initiate procurement immediately after contract awards to meet project timelines."
NBCC Wins Rs 820 Million Contract for Lokpal Renovation Project,NBCC (India),Renovation,India,Rs 820.08 million,2025-04-02,Infrastructure-Contract_Won,"Structural steel for renovation (beams, columns, reinforcements), interior steel elements (staircases, railings, HVAC supports)",15-20%,NBCC (India),medium,"NBCC (a government-owned construction company) won a high-value renovation contract. While the client is a government entity (Lokpal), NBCC would handle material procurement. Renovation projects often require structural steel for upgrades and reinforcements. The ₹820M contract suggests moderate steel needs (15-20% allocation). Timeline urgency is medium as the award is confirmed but execution details are unspecified."
"HCC share price jumps over 13% as JV secures ₹2,470 crore order from Tata Power",Hindustan Construction Company (HCC) and Tata Projects,Pumped Storage Project,Not specified,"₹2,470 crore",2025-03-18,Renewable_Energy-Contract_Won,"Structural steel for reservoirs, tunnels, penstocks, and hydro-mechanical components; reinforcement steel for concrete structures; potential steel for turbines/pumps.",15-20%,Tata Projects (JV partner executing the project),medium,"1) Pumped Storage Projects (PSP) fall under Renewable Energy (energy storage). 2) PSPs require massive steel-intensive infrastructure: reservoirs, tunnels, and mechanical systems. 3) Tata Projects (private EPC contractor) will procure materials, not Tata Power (end-user/client). 4) ₹2,470 crore contract suggests substantial steel demand. 5) Contract already awarded (urgency medium for immediate procurement planning)."
Eleganz Interiors Secures Rs 1.87 Billion Contract for Major Airport Project,Eleganz Interiors,Airport,India,Rs 1.87 Billion,2025-03-31,Infrastructure-Contract_Won,"Structural steel for interior frameworks, support beams, partitions, and decorative elements. Potential use in mezzanines, railings, and elevator shafts.",10-15%,Eleganz Interiors,medium,"Airport projects fall under Infrastructure. While Eleganz Interiors is handling interior execution, large-scale airport interiors often require steel for structural frameworks, supports, and architectural elements. The contract value (₹1.87B) suggests substantial material requirements. As a private contractor, Eleganz Interiors (not the government) would procure materials. However, urgency is medium as interior work typically follows structural completion, and the 2025 deadline implies procurement may occur gradually. Steel demand here is likely smaller than core structural work but still significant given the project scale."
Hitachi Energy and BHEL Win HVDC Contract for Rajasthan Renewable Power,Hitachi Energy and BHEL,HVDC transmission,Rajasthan,,2025-04-04,Renewable_Energy-Contract_Won,"Structural steel for HVDC transmission towers, galvanized steel for conduits, steel for converter station infrastructure",20-30% (HVDC projects typically require substantial steel for towers and electrical infrastructure),BHEL (Bharat Heavy Electricals Limited),medium,"1) Industry classification: Renewable Energy-Contract_Won (HVDC transmission for renewable energy evacuation). 2) HVDC projects require significant steel for towers (~200-500 tons/km), converter stations, and substations. 3) BHEL as EPC contractor would source materials, not the government. 4) Project timeline aligns with 2025 completion date requiring medium-term procurement planning. 5) BHEL has existing steel procurement patterns for infrastructure projects."
Adani Energy Solutions formalizes Rajasthan HVDC contract on Hitachi Energy India-BHEL consortium,Hitachi Energy India and BHEL,HVDC transmission,Rajasthan,,2025-04-04,Infrastructure-Contract_Won,"Structural steel for transmission towers, galvanized steel for conductor cables, and steel for substation components. HVDC projects typically require large quantities of steel for tower fabrication and electrical infrastructure.",15-25%,Hitachi Energy India and BHEL consortium,high,"1. Industry classification: Infrastructure (energy transmission) with Contract_Won sub-category. HVDC projects are core infrastructure requiring steel for towers, conductors, and substations. 2. Steel demand: Critical for tower structures (structural steel) and conductors (steel-reinforced cables). 3. Target buyer: The contractor consortium (private companies) will procure materials, not the government. 4. Urgency: Contract execution for a 2025 completion date implies immediate material procurement needs. 5. Contract value: Described as 'major,' indicating substantial steel requirements despite unspecified value."
BHEL consortium wins Bhadla-Fatehpur UHVDC transmission project,Bharat Heavy Electricals (BHEL) and Hitachi Energy India,UHVDC transmission,Rajasthan,,2025-04-03,Renewable_Energy-Contract_Won,"Structural steel for transmission towers, galvanized steel components, and substation infrastructure. Typical UHVDC projects require 500-1000 tons of steel per 100 km of line.",20-30% (estimate based on typical transmission project material costs),Hitachi Energy India,medium,"1. Industry classification: UHVDC transmission projects are critical for renewable energy integration (common in solar-rich Rajasthan). Falls under Renewable Energy category. 2. Steel requirement: Transmission towers and substations require substantial structural steel. 3. Target company: Hitachi Energy India (private entity) would handle material procurement, while BHEL (government PSU) is excluded. 4. Timeline: Contract signing indicates imminent procurement phase, but exact project schedule undefined. 5. Value justification: Transmission projects typically allocate 20-30% of budget to materials."
Hanwha Aerospace signs 371.4 billion won contract to export K9 howitzers to India,Hanwha Aerospace,Defense,India,371.4 billion won,2025-04-03,Automotive-Confirmed,"High-strength steel for chassis, armored components, turret, and tracks of K9 howitzers. Specific quantities not mentioned, but military vehicles typically require substantial steel tonnage.",15-20%,Hanwha Aerospace,medium,"The K9 howitzer is a tracked military vehicle, categorizing this under the Automotive industry. Hanwha Aerospace, as the manufacturer, will procure steel for production. Defense projects of this scale (371.4B won) require significant steel for armored structures and vehicle frames. While the government (India) is the end buyer, steel sales would target Hanwha. Urgency is medium as production timelines for large defense contracts are typically phased but not immediate."
KEC International Secures Rs 12.36 Bn Orders,KEC International Ltd.,Infrastructure EPC,India,Rs 12.36 Bn,2025-04-02,Infrastructure-Contract_Won,"Structural steel for transmission towers, poles, conductors, and substation structures. Likely requires large quantities of rolled steel sections, plates, and reinforcement bars for civil works.",15-25% of contract value (approximately Rs 1.85-3.09 Bn),KEC International Ltd.,medium,1) Infrastructure EPC projects inherently require substantial steel for structural components and civil works. 2) KEC International as EPC contractor (not government entity) would procure materials directly. 3) Rs 12.36 Bn contract value indicates major project scale. 4) Typical steel allocation in infrastructure ranges 15-25%. 5) Timeline urgency is medium as execution phase steel procurement would follow contract award.
Hindustan Power bags 425 MW solar project contract from UPPCL,Hindustan Power,Solar Project,Uttar Pradesh,,2025-04-02,Renewable_Energy-Contract_Won,"Structural steel for solar panel mounting systems, support frames, and substation infrastructure. Likely requires galvanized steel for corrosion resistance in outdoor environments.",15-20% (typical for utility-scale solar projects),Hindustan Power,medium,"1) Solar energy projects require substantial steel for mounting structures (racks, piles) and electrical infrastructure. 2) UPPCL (government) is the client, but Hindustan Power (private EPC contractor) will procure materials. 3) 425 MW scale indicates significant steel needs (~8,500 tons estimated). 4) Typical solar project timelines suggest procurement within 6-12 months post-contract award. Renewable Energy classification is confirmed as solar project under Contract_Won status."
"BHEL, Hitachi Energy consortium bags contract for 6-GW renewable energy transmission project",Hitachi Energy India and BHEL,Renewable Energy Transmission,Rajasthan,,2025-04-03,Renewable_Energy-Contract_Won,"High-strength steel for HVDC transmission towers (likely structural steel, galvanized steel for corrosion resistance), steel conductors, substation structures, and reinforcement materials for infrastructure. 950-km length implies ~6-8 towers/km (total ~5,700-7,600 towers requiring 50-100 tons each), totaling ~285,000-760,000 metric tons.","15-25% of total contract value (steel typically represents 20-30% of transmission project costs, adjusted for HVDC premium components)",Hitachi Energy India and BHEL (joint contractors responsible for material procurement),medium,"1) Industry: Renewable Energy (transmission infrastructure for clean energy). Sub-category: Contract_Won (project already awarded). 2) HVDC projects require massive steel for towers (average 80 tons/km), converter stations, and foundations. 3) BHEL (Bharat Heavy Electricals) is a PSU but operates commercially and procures materials independently. Hitachi Energy handles grid solutions. Both are valid steel buyers. 4) Timeline: 2025 completion implies material procurement within 12-18 months. 5) Scale: 6GW is strategic national infrastructure with premium steel requirements for high-voltage applications."
