Title,Company,Project Type,Location,Contract Value,Date Published,Source URL,Description
Shilpa Medicare Ltd - 530549 - Business Responsibility and Sustainability Reporting (BRSR),Shilpa Medicare Ltd,Transportation - Port,Karnataka,Not specified,2024-08-26,http://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e1e47da0-2ee5-48db-a692-61d297f9118f.pdf," 
 
Shilpa Medicare Limited  
Corporate & Admin Office:  
“Shilpa House”, # 12 -6-214/A -1, Hyderabad Road,  
Raichur – 584 135, Karnataka, India  
Tel: +91 -8532 -238704, Fax: +91 -8532 -238876  
Email: info@vbshilpa.com, Web: www.vbshilpa.com  
CIN: L85110KA1987PLC008739   
  Date: 26 August, 2024  
  To, 
 
Corporate Relationship Department,  
BSE Limited  
Phiroze Jeejeebhoy Towers,  
Dalal Street, Fort,  
Mumbai -400 001   
National Stock Exchange of India Ltd.  
Exchange Plaza, 5th Floor,   
Plot No. C/1, G Block  
Bandra Kurla Complex, Bandra (E)  
Mumbai -400 051  
 
 
Stock Code: NSE: SHILPAMED/BSE -530549  
 
Dear Sir/Madam,  
 
Sub:  Business  Responsibility  and Sustainability  Report  for the FY 2023 -24 
 
Pursuant  to regulation  34(2)  (f) of Securities  and Exchange  Board  of India  (Listing  Obligations  and Disclosure
Requirements)  Regulations,  2015,  please  find enclosed  copy  of Business  Responsibility  and Sustainability 
Report  (BRSR)  for the FY 2023 -24 "
Subros Ltd - 517168 - Business Responsibility and Sustainability Reporting (BRSR),Subros Ltd,Transportation - Port,Delhi,Not specified,2024-08-26,http://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=61888cf6-fcd4-4892-88db-1593bdd97ebc.pdf," 
 
 
 
SUBROS LIMITED 
Corporate & Registered Office: LGF, World Trade Centre, Barakhamba Lane, New Delhi 110001 (India). 
Website: www.subros.com I CIN: L74899DL1985PLC020134
 
 
  
 SL/BSE/NSE/2024- 25/                                                                                                                          
 
 
 
 
 
 
 
 
 
 
 
 
Dear Sir/Madam, 
 
Sub:    Business Responsibility and sustainability Report for the financial year 2023
 
Pursuant to Regulation 34(2)(f) of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 
(“Listing Regulations”), we are enclosing the Business Respons
which also forms a part of our Annual Report for the financial year 2023
 
We request you to kindly take the same on record.
 
Thanking you, 
 
Yours faithfully, 
For SUBROS LIMITED 
 
 
 
 
Kamal Samtani 
Company Secretary  
 
 
 The Manager, 
Listing Department, 
National Stock Exchange of India Ltd.,
‘Exchange Plaza’ C-1 , Block G, 
Bandra-Kurla Complex, Bandr"
Ramsons Projects Ltd - 530925 - Book Closure For The Purpose Of Upcoming Annual General Meeting For The Financial Year 2023-2024.,Ramsons Projects Ltd,General Project,Haryana,Not specified,2024-08-26,http://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b9b5d460-6bcb-4b97-ab20-94068389ce34.pdf,"                                                                                            
 
 
 
                                                                                                 CIN: L74899DL1994PLC063708  
Corp. Office: Unit 501, 05 th  Floor, SAS Tower, Tower-B,  
Sector- 38, Gurugram – 122001, Haryana 
Phone: +91 124 4679000  
Email: corprelations@ramsonsprojects.com 
Website: www.ramsonsprojects.com 
___________________________________________________ _______________________________ 
      Regd. Office: 201, Empire Apartments, First Fl oor, Sultanpur, M.G. Road, Gadaipur, New Delhi - 11 0030  
Ref. RPL/2024/148                                                       August 26, 2024 
 
To, 
BSE Limited  
25 th  Floor, Phiroze Jeejeebhoy Towers 
Dalal Street, Mumbai 400 001  
 
Dear Sir/Ma’am , 
 
Sub: Notice of the 30 th  Annual General Meeting of the Company and Closure of Register 
of Members and Share Transfer Books/ Fixing of Reco rd Date. 
 
Ref: Regulation 42 o"
Ramsons Projects Ltd - 530925 - Record Date For The Purpose Of Upcoming Annual General Meeting For The Financial Year 2023-2024.,Ramsons Projects Ltd,General Project,Haryana,Not specified,2024-08-26,http://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=024b1c01-938f-466f-82a1-8479fcbe0c33.pdf,"                                                                                            
 
 
 
                                                                                                 CIN: L74899DL1994PLC063708  
Corp. Office: Unit 501, 05 th  Floor, SAS Tower, Tower-B,  
Sector- 38, Gurugram – 122001, Haryana 
Phone: +91 124 4679000  
Email: corprelations@ramsonsprojects.com 
Website: www.ramsonsprojects.com 
___________________________________________________ _______________________________ 
      Regd. Office: 201, Empire Apartments, First Fl oor, Sultanpur, M.G. Road, Gadaipur, New Delhi - 11 0030  
Ref. RPL/2024/148                                                       August 26, 2024 
 
To, 
BSE Limited  
25 th  Floor, Phiroze Jeejeebhoy Towers 
Dalal Street, Mumbai 400 001  
 
Dear Sir/Ma’am , 
 
Sub: Notice of the 30 th  Annual General Meeting of the Company and Closure of Register 
of Members and Share Transfer Books/ Fixing of Reco rd Date. 
 
Ref: Regulation 42 o"
Digital Fibre Infrastructure Trust - 543859 - Reg 23(5)(g): Outcome of Unitholder meetings,Digital Fibre Infrastructure Trust,Infrastructure,Mumbai,Not specified,2024-07-26,http://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=14404d90-2833-4813-951d-4e1c0c28350b.pdf," 
 
July 2 6, 2024 
                                                                                                      BSE Limited  
Phiroze Jeejeebhoy Towers,  
Dalal Street,  
Mumbai 400 001  Security Code: 543859  
Symbol: DIGIFIBRE  
 Dear Sir s, 
 Sub:  Proceedings of the Fourth  Annual General Meeting of the Unitholders  of Digital Fibre 
Infrastructure Trust  
 
We, Infinite India Investment Management Limited, the investment manager of Digital Fibre 
Infrastructure Trust (the “Trust ”), hereby submit the details regar ding the proceedings, voting 
results of the business transacted at the Fourth  Annual General Meeting held today i.e. July 26, 
2024, through video conferencing, in accordance with the provisions of the Securities and Exchange Board of India (Infrastructure Investment Trusts) Regulations, 2014 read with applicable circulars and guidelines issued thereunder.  In this regard we are enclosing the following: 
 
1. Summary of proceedings of the AGM (Annexure A)  
2"
Intelligent Supply Chain Infrastructure Trust - 544005 - Reg 23(5)(g): Outcome of Unitholder meetings,Intelligent Supply Chain Infrastructure Trust,Infrastructure,Mumbai,Not specified,2024-07-26,http://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7e213f3c-c8f0-40ab-81f9-170b601fd25f.pdf," 
 
July 2 6, 2024  
                                                                                                      BSE Limited  
Phiroze Jeejeebhoy Towers,  
Dalal Street,  
Mumbai 400 001  Security Code: 544005  
Symbol: ISCITRUST  
 Dear Sir s, 
 Sub:  Proceedings of the First  Annual General Meeting of Intelligent Supply Chain 
Infrastructure Trust  
 
We, Infinite India Investment Management Limited, the investment manager of Intelligent Supply 
Chain Infrastructure Trust ( the “Trust ”), hereby submit the details regar ding the proceedings, 
voting results of the business transacted at the First  Annual General Meeting held today i.e. July 
26, 2024, through video conferencing, in accordance with the provisions of the Securities and Exchange Board of India (Inf rastructure Investment Trusts) Regulations, 2014 read with circulars 
and guidelines issued thereunder.  
 In this regard we are enclosing the following:  
 
1. Summary of proceedings of the AGM (Annexure A)  
2. Vo"
IKIO Lighting Ltd - 543923 - Business Responsibility and Sustainability Reporting (BRSR),IKIO Lighting Ltd,Transportation - Port,Delhi,Not specified,2024-07-26,http://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e8b38233-e7a1-4e7c-a88e-3fbaeaf94fdd.pdf,"IKIO LIGHTING LIMITED (Formerly known as IKiO LIGHTING Pvt. Ltd.) 
(GIN.:L341401DL2070PLC24. #34) <¢ 
N { ) 
""4 I< | Regd. Office: Corp. Office : Works: 
Q 411, Arunachal Building, Q D-234, Sector-63 Q Plot no. 102,Sector-07, IIE, 
Innovations Only. 19 Barakhamba Road, Noida 201301 (U.P.) Sidcul Haridwar,249403 
Cannaught Place New Delhi-110001 India 
Date: - 26 July, 2024 
To, — To, 
Listing Operation Department, Listing Compliance Department, 
BSE Limited National Stock Exchange of India Limited, 
20th Floor, Phiroze Jeejeebhoy Towers 05th Floor, Exchange Plaza, C-1, Block G, 
Dalal Street, Mumbai- 400 001 Bandra Kurla Complex, Bandra (E), 
Scrip Code: - 543923 Mumbai — 400051 
Symbol: - IKIO 
Sub: Submission of Business Responsibility & Sustainability Report for FY 2023-24 
Pursuant to Regulation 30 and 34 of SEBI (Listing Obligation and Disclosure Requirement) 
Regulations, 2015, please find enclosed herewith the Business Responsibility & Sustainability 
Report of the Company for t"
Themis Medicare Ltd - 530199 - Business Responsibility and Sustainability Reporting (BRSR),Themis Medicare Ltd,Transportation - Port,Gujarat,Not specified,2024-06-25,http://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9b23651f-6f1c-4c32-b473-744fb1ad7061.pdf,"2023   2024
51
SECTION A: GENERAL DISCLOSURES
I. DETAILS OF THE LISTED ENTITY:
1 Corporate Identity Number (CIN) of the Company L24110GJ1969PLC001590
2 Name of the Company THEMIS MEDICARE LIMITED
3 Year of incorporation 1969
4 Registered address Plot No 69-A, GIDC Industrial Estate, Vapi - 396 
195, Dist- Valsad, Gujarat.
5 Corporate address 11/12 Udyog Nagar, S.V Road, Goregaon West, Mumbai – 400 104.
6 Website
www.themismedicare.com
7 Telephone No. 022-67607080
8 E-mail id themis@themismedicare.com
9 Financial year for which reporting is being done 2023-24
10 Name of the Stock Exchange(s) where shares are listed • BSE Limited - Stock Code 530199
• National Stock Exchange of India Limited
Stock Code - THEMISMED
11 Paid-up Capital Rs. 9,20,40,120/-
12 Name and contact details (telephone, email address) of the 
person who may be contacted in case of any queries on the BRSR reportMr. Sangameshwar IyerCompany Secretary & Compliance OfficerThemis Medicare Ltd.11/12 Udyog Nagar, S.V. Road, "
Onward Technologies Ltd - 517536 - Business Responsibility and Sustainability Reporting (BRSR),Onward Technologies Ltd,Transportation - Port,Mumbai,Not specified,2024-06-25,http://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=20079c88-17ee-4a99-ad2f-70d8f0d8117e.pdf," 
Regd. address. : 2nd floor, Sterling Centre, Dr. A.B. Ro ad, Worli, Mumbai 400018. Tel: +91 22 24926570  
CIN: L28920MH1991PLC062542  | email:  info@onwardgroup.com   | website : www.onwardgroup.com   
 
 
Mumbai | Pune | Chennai | Bengaluru |  Hyderabad | Chicago | Detroit |  London |  Frankfurt | Amsterdam  | Toronto  
  
Ref No.: OTL/Secretarial/SE/2024 -25/22 
 
Date: June 25, 2024  
 
To,  
         
Bombay Stock Exchange Limited  
Phiroz Jeejeebhoy Towers,  
Dalal Street, Mumbai – 400023  
 National Stock Exchange of India Ltd.,  
Plot No. C/1 'G' Block  
Bandra – Kurla Complex  
Bandra East, Mumbai 400051  
 
Ref: Scrip Code - BSE:  517536 NSE: ONWARDTEC  
 
Subject: Submission of Business Responsibility and Sustainability Report for Financial Year (FY) 
2023- 24 
 
Dear Sir/Madam,  
 
Pursuant to Regulation 34(2)(f) of the Securities and Exchange Board of India (Listing Obligations and 
Disclosure Requirements) Regulations, 2015, we are submitting herewith the Business Respo"
Adani Ports and Special Economic Zone Ltd - 532921 - Change In Senior Management Personnel Of The Company,Adani Ports and Special Economic Zone Ltd,Transportation - Port,Gujarat,Not specified,2024-06-25,http://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1051ed41-cf3b-46e0-8cf2-32cdb402f6d1.pdf,"Registered Office: Adani Co rporate House, Shantigram,  Nr. Vaishno  Devi Circle, S. G. Highway, Khodiyar, Ahmedabad  - 382421, Gujarat, India  Tel +91  79 2555 4444 
Fax +91 79 2555 7177 
Investor.apsezl@adani.com 
www.adaniports.com Adani Ports and  Special Economic  Zone Ltd  
Adani Corporate House, Shantigram, 
Nr.  Vaishno Devi Circle, S. G. Highway, 
Khodiyar, Ahmedabad - 382421 
Gujarat, India 
CIN: L63090GJ1998PLC034182  
 
Ref No: APSEZL/SECT/2024-25/37 
 
June 25, 2024 
 
BSE Limited 
Floor 25, P J Towers, 
Dalal Street, 
Mumbai – 400 001 National Stock Exchange of India Limited 
Exchange Plaza,  
Bandra Kurla Complex, 
Bandra (E), Mumbai – 400 051 
Scrip Code: 532921  Scrip Code: ADANIPORTS 
 
Sub.: Change in Senior Management Pe rsonnel of the Company -Disclosure under  
Regulation 30 of the SEBI  (Listing Obligations and Disclosure Requirements) 
Regulations, 2015. 
 
Dear Sir/Madam, 
 
Pursuant to Regulation 30 of SEBI (Listing Obligations and Disclosure 
Requirements) Re"
"Jubilant Pharmova Ltd - 530019 - Jubilant Pharmova Announces Completion Of USFDA Audit Of Radiopharmaceuticals Manufacturing Facility At Montreal, Canada",Jubilant Pharmova Ltd,Manufacturing,Mumbai,Not specified,2024-04-24,http://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=70bb9cf0-9edc-415f-a20a-4f992f416c1c.pdf,"  April 24, 2024  
BSE Limited  
Floor 25, P. J. Towers  
Dalal Street,  
Mumbai - 400 001 
  Scrip Code: 530019  The National Stock Exchange of India Limited  
Exchange Plaza  
Bandra Kurla Complex, Bandra (E)  
Mumbai - 400 051 
Symbol: JUBLPHARMA  
D
ear Sirs,  
We enclose a communication p ursuant to Provisions of Regulation 30 of Securities and Exchange Board 
of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 .   
Th
e Company has receiv ed communication from USFDA at 1.30 a m (IST) on April 24, 2024.  
W
e request you to take the same on record.  
T
hanking you,  
Yours faithfully,  
For Jubilant Pharmova Limited 
N
aresh Kapoor  
Company Secretary  
Encl.: As above  
 
 
 
 
 
 
 
 
Jubilant Pharmova announces completion of USFDA audit of 
Radiopharmaceuticals manufacturing facility at Montreal, Canada  
  
Noida , April  24, 2024 , Jubilant Pharmova Limited today announced that the United States Food and Drug 
Administration ( USFDA ) has concluded au"
